FFTE Feed tank level SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,TFE Steam temperature SP,FFTE Feed flow SP,FFTE Out steam temp SP,Extract tank Level,Extract tank Out flow PV,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed tank level PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Out steam temp PV,FFTE Production solids PV,FFTE Pump 1,FFTE Pump 1 - 2,FFTE Pump 2,FFTE Steam pressure PV,FFTE Temperature 1 - 1,FFTE Temperature 1 - 2,FFTE Temperature 2 - 1,FFTE Temperature 2 - 2,FFTE Temperature 3 - 1,FFTE Temperature 3 - 2,FFTE Unk Temperature,TFE Feed pump,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Class
25.0,43.0,130.82,2846.51,71.0,-65.2,120.0,80.0,10000.0,50.0,50.86,5.3,1.33,53.48,10196.5,50.6,54.99,66.52,62.61,50.02,57.11,80.0,100.0,81.0,129.88,72.93,75.18,62.39,63.25,17.34,73.64,65.43,20.0,1416.99,43.71,32.64,80.0,1372.24,0.0,73.84,1.27,119.91,65.59,78.7,77.0,-69.29,2
50.0,41.5,132.13,2038.55,40.5,-65.0,120.0,80.0,9400.0,50.0,62.76,40.2,1.28,56.17,10279.51,47.2,48.78,65.66,63.09,49.8,57.63,80.0,100.0,81.0,107.76,67.55,69.92,59.22,63.13,6.06,68.15,78.03,27.5,1686.77,47.81,29.24,80.0,3481.19,0.0,69.78,0.67,119.91,88.63,81.17,89.0,-42.47,1
50.0,40.5,100.0,1982.74,55.0,-77.8,120.0,80.0,9800.0,50.0,67.72,39.62,1.25,45.75,9248.38,56.81,53.1,63.54,62.48,49.77,46.64,80.0,100.0,81.0,120.0,81.23,82.93,64.66,61.14,4.94,82.1,62.07,27.0,2103.11,48.87,31.97,80.0,2007.13,0.0,58.25,1.19,119.91,62.0,72.6,68.0,-79.13,0
25.0,42.0,135.0,2183.33,66.0,-67.28,120.0,80.0,8970.0,50.1,9.43,10.97,1.07,43.96,9453.31,24.26,53.87,56.52,35.89,49.06,41.86,80.0,100.0,81.0,129.2,75.85,73.89,64.15,57.9,22.34,73.99,66.97,26.85,2225.03,50.09,28.74,80.0,2167.32,0.0,70.79,0.92,119.91,66.97,50.72,74.0,-73.5,1
50.0,41.5,100.0,2038.55,65.0,-78.44,120.0,80.0,9600.0,50.0,10.83,16.17,1.3,54.26,9721.79,51.85,50.95,67.26,57.07,49.83,54.94,80.0,100.0,81.0,92.54,81.33,83.25,66.33,56.97,2.38,81.29,75.81,30.43,1821.01,53.68,34.66,80.0,2122.57,0.0,51.8,1.2,120.23,76.04,35.84,82.0,-49.53,2
50.0,43.0,120.0,2846.51,69.0,-45.07,125.0,80.0,10200.0,50.1,23.59,13.76,1.26,49.41,9491.57,49.09,57.32,64.02,63.73,49.93,49.49,80.0,100.0,81.0,135.19,83.86,85.27,65.37,61.94,11.0,84.85,74.76,19.51,1680.29,45.15,29.07,80.0,1763.94,0.0,68.69,1.24,125.03,84.28,63.31,83.0,-59.77,2
50.0,40.74,125.0,2897.65,42.5,-36.53,120.0,80.0,10130.0,49.88,63.97,3.39,1.29,52.38,10132.3,48.8,47.17,60.91,56.94,51.27,51.61,80.0,100.0,81.0,125.31,67.83,70.34,58.48,59.22,9.36,68.09,53.8,21.0,1962.39,48.48,29.92,80.0,1994.16,0.0,56.94,1.19,136.9,64.35,60.68,64.0,-80.56,0
50.0,43.0,89.88,3012.56,79.0,-49.91,120.0,80.0,10400.0,50.0,51.7,14.53,1.26,48.36,9721.79,47.91,47.1,63.54,66.07,50.12,48.13,80.0,100.0,81.0,120.0,81.26,83.31,64.79,60.85,2.89,82.39,66.72,25.99,1635.54,53.77,31.36,80.0,2551.88,0.0,69.27,1.22,120.23,66.75,29.21,76.0,-63.3,1
50.0,39.0,128.96,1878.0,64.0,-68.11,120.0,80.0,9500.0,50.0,16.28,5.4,1.29,52.46,10292.48,50.92,48.16,62.12,62.03,49.73,52.3,80.0,100.0,81.0,85.5,68.22,70.62,58.96,56.33,9.62,68.6,74.24,32.0,1821.01,47.49,29.31,80.0,1808.69,0.0,68.42,1.2,119.91,82.04,82.58,82.0,-60.12,2
50.0,43.0,120.0,2609.3,70.0,-75.84,120.0,80.0,10200.0,50.0,37.63,14.82,1.29,47.17,9420.88,49.22,61.27,65.18,63.41,49.83,51.57,80.0,100.0,81.0,129.56,82.35,84.08,68.35,59.92,16.8,83.18,66.52,19.0,1718.55,43.64,29.17,80.0,1359.27,0.0,62.6,1.26,119.91,72.61,30.36,72.0,-76.32,2
50.0,41.5,105.0,1725.3,69.0,-68.99,125.0,80.0,8940.0,49.88,62.85,18.18,1.28,50.61,8953.31,56.72,52.36,64.34,62.52,50.98,50.38,80.0,100.0,81.0,105.2,83.12,84.11,67.07,63.16,6.03,84.02,67.23,26.98,1802.2,46.88,38.33,80.0,2487.68,0.0,69.41,0.93,125.03,67.23,82.53,77.0,-71.04,2
50.0,40.5,104.7,2525.93,39.5,-52.31,120.0,80.0,9500.0,50.0,28.21,1.75,1.26,43.43,9491.57,50.12,48.2,62.39,61.98,49.86,43.43,80.0,100.0,81.0,119.64,80.65,82.32,64.7,60.02,0.52,81.42,62.42,26.07,2199.09,49.51,33.11,80.0,2699.09,0.0,54.77,1.18,124.71,66.53,74.77,67.0,-79.85,2
50.0,43.0,115.0,2799.07,72.0,-47.32,70.0,80.0,10200.0,51.11,45.09,6.64,1.05,46.6,10222.44,49.64,56.94,64.92,63.73,49.89,46.52,80.0,100.0,81.0,74.88,69.79,71.65,62.32,60.34,20.67,70.11,75.75,25.5,1558.37,45.02,28.67,80.0,1590.79,0.0,73.47,1.26,120.23,86.33,81.36,86.0,-51.63,2
50.0,41.5,97.0,2081.93,43.5,-51.24,120.0,80.0,9400.0,50.0,61.9,18.57,1.26,44.92,10113.49,49.48,52.14,62.2,63.09,49.54,44.33,80.0,100.0,81.0,120.36,78.63,79.18,62.65,58.0,3.88,79.57,65.18,22.34,1840.47,45.76,29.54,80.0,1635.54,0.0,65.42,1.2,119.91,65.18,39.07,74.0,-74.57,2
50.0,43.0,133.32,3012.56,85.0,-55.8,120.0,80.0,10400.0,50.0,64.4,34.14,1.26,43.13,9491.57,50.31,49.42,61.95,62.02,49.89,44.03,80.0,100.0,81.0,100.3,78.83,80.3,64.37,58.48,1.03,79.28,62.55,27.0,1725.03,45.02,33.38,80.0,3461.74,0.0,51.95,0.89,121.82,68.07,84.36,68.0,-79.13,2
50.0,42.0,115.0,2214.29,59.0,-80.0,120.0,80.0,9600.0,50.0,59.67,15.11,1.05,40.07,9498.05,49.25,64.66,65.66,65.78,50.44,41.27,80.0,100.0,81.0,109.8,80.14,81.78,65.14,58.35,22.18,81.07,66.39,21.36,1974.71,45.34,27.76,80.0,1616.08,0.0,58.25,0.89,119.91,67.81,39.8,68.0,-79.13,0
50.0,43.0,129.0,2609.3,42.5,-57.62,120.0,80.0,9800.0,50.4,44.94,22.32,1.09,48.74,9414.4,49.6,61.94,65.34,64.6,49.89,49.26,80.0,100.0,81.0,120.36,83.89,84.88,69.79,62.52,15.48,84.95,56.11,20.0,1474.71,39.61,37.52,80.0,2462.39,0.0,64.48,1.16,127.27,65.51,82.99,66.0,-82.67,1
50.0,40.5,130.0,1982.74,36.5,-57.29,120.0,80.0,9600.0,50.0,46.64,5.4,1.28,57.79,10632.94,51.27,49.67,66.91,61.68,50.57,57.09,80.0,100.0,81.0,118.93,72.42,74.92,60.43,62.42,8.02,73.09,71.65,27.6,1551.88,45.31,30.59,80.0,3564.2,0.0,75.18,1.2,119.91,83.51,81.29,84.0,-61.19,2
